s,title_num,chapter_num,subchapter_num,section_num,title_name,chapter_name,subchapter_name,section_name,universal_citation,current_through,section_content_text,file_source
T10A_C10_SC3_SEC10A_10_3_13,10A,10,3,10A_10_3_13,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Interstate transfer by order of the Commissioner,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Upon issuance of an order by the Commissioner, New Jersey Department of Corrections, Form 822-VI Notice of Emergency Transfer shall be served upon the selected inmate(s) meeting the classification and custody criteria of contracting states offering bed space for lease and/or per diem cost reimbursement. When feasible, Form 822-VI shall be served on the inmate 24 hours prior to the intended transfer and the notice shall include: 1. The conditions upon which the order by the Commissioner was predicated; 1. The conditions upon which the order by the Commissioner was predicated; 2. The name of the state and the correctional facility to which the inmate shall be transferred; 3. The address of the correctional facility; 4. The security designation of the correctional facility; 5. The custody level of the inmate; 6. The listing of personal property which may be transferred to the receiving correctional facility; 7. The arrangement(s) for personal property which cannot be transferred to the receiving correctional facility; and 8. Any additional pertinent information.",title-10a/chapter-10/subchapter-3/section-10a-10-3-13.html
T10A_C10_SC3_SEC10A_10_3_14,10A,10,3,10A_10_3_14,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Review of requests from other state compact members for transfer of inmates to...,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Any request from another state or jurisdiction for incarceration of out-of-State inmates in New Jersey shall be forwarded to the Administrator of the Interstate Corrections Compact or appropriate designee. (b) The Administrator of the Interstate Corrections Compact or appropriate designee shall ensure that the request contains minimally the information outlined in N.J.A.C. 10A:10-3.8. (c) The request shall then be forwarded to the Assistant Commissioner, Division of Operations, for approval or disapproval. (d) Upon receipt of the determination of the Deputy Commissioner, the Administrator of the Interstate Corrections Compact, or designee, shall determine whether the application and transfer comply with the Interstate Corrections Compact and this subchapter. The final decision to approve or deny the out-of-State request shall be made by the Commissioner. The requesting state shall then be notified of the final decision by the Administrator of the Interstate Corrections Compact or designee.",title-10a/chapter-10/subchapter-3/section-10a-10-3-14.html
T10A_C10_SC3_SEC10A_10_3_15,10A,10,3,10A_10_3_15,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Receiving state acting as agent for sending state,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Whenever the duly constituted authorities in a state compact member have entered into a contract with another state compact member and decide that confinement in, or transfer of an inmate to, a correctional facility within the territory of another state compact member is necessary or desirable, said officials may direct the confinement be within a correctional facility within the territory of that state compact member. The receiving state may act as agent for the sending state. (b) Inmates confined in a correctional facility pursuant to the terms of the Interstate Corrections Compact shall be, at all times, subject to the legal jurisdiction of the sending state and may, at any time, be removed therefrom for any of the following reasons: 1. Transfer to a prison or other correctional facility within the sending state; 1. Transfer to a prison or other correctional facility within the sending state; 2. Transfer to another correctional facility in a third party compact state in which the sending state may have a contractual or other right to confine inmates; 3. Release on probation or parole; 4. Discharge; 5. Upon receipt of a court Order to Produce (writ) from a Superior Court in the sending state; or 6. Any other purposes permitted by the Interstate Corrections Compact or this subchapter, provided that the sending state continues to be obligated to such reimbursements as may be required pursuant to the terms of any contract.",title-10a/chapter-10/subchapter-3/section-10a-10-3-15.html
T10A_C10_SC3_SEC10A_10_3_16,10A,10,3,10A_10_3_16,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,"Administration of conditions of confinement, hearings and administrative proce...",,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) All inmates who may be confined to a correctional facility pursuant to the provisions of the Interstate Corrections Compact shall be treated in a reasonable and humane manner and shall be treated equally to similarly situated inmates under the jurisdiction of the receiving state with regard to: 1. The terms and conditions of confinement; 1. The terms and conditions of confinement; 2. Custody status; 3. Program eligibility and participation (with the exception that provisions may be made for the approval of the sending state to certain program assignments, such as work release); 4. Medical services; and 5. Psychiatric services.",title-10a/chapter-10/subchapter-3/section-10a-10-3-16.html
T10A_C10_SC3_SEC10A_10_3_17,10A,10,3,10A_10_3_17,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Release/return of transferred inmate,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Except as established in (b) below, a transferred inmate from New Jersey shall be returned to New Jersey for a court appearance in which the inmate is named as a defendant or plaintiff or when subpoenaed, and for the opportunity for a reasonable amount of consultation with counsel in connection with such court proceedings. (b) Court appearances may be arranged and provided through video teleconferencing (VTC) when equipment is available and operational and when the court is amenable to the use of VTC. (c) An inmate may be returned to the sending state at the request of the receiving state due to behavior which poses a threat to the safe, secure, and orderly operation of the correctional facility in the receiving state. In such cases where the inmate is not charged with a prohibited act by the receiving state due to the expedited nature of the inmate's return, the sending state may charge the inmate based on such written reports and/or affidavits as are forwarded by the receiving state. (d) A disciplinary report shall be prepared by the Office of Interstate Services as soon as possible after the return, but in any case, within no more than five business days of the inmate's return. (e) All disciplinary procedures as stated in N.J.A.C. 10A:4 shall be followed with the exception that appeals shall be forwarded to the Office of the appropriate Assistant Commissioner, New Jersey Department of Corrections. (f) Any inmate eligible for parole who is confined pursuant to the Interstate Corrections Compact shall be released within the sending state, unless the inmate and the sending and receiving states agree that the inmate will be paroled to a party who will provide supervision for the parolee under the Interstate Compact for Adult Supervision. (g) Any inmate who has been returned to the sending state or maintained in the receiving state shall be released at the expiration of maximum sentence within the sending state, unless the receiving state and the sending state agree, in writing, that the inmate may be released within the receiving state.",title-10a/chapter-10/subchapter-3/section-10a-10-3-17.html
T10A_C10_SC3_SEC10A_10_3_18,10A,10,3,10A_10_3_18,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Rights of parents or guardians,,,,title-10a/chapter-10/subchapter-3/section-10a-10-3-18.html
T10A_C10_SC3_SEC10A_10_3_19,10A,10,3,10A_10_3_19,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Escapees and transportation,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) An inmate who escapes from a correctional facility in which the inmate is confined pursuant to the Interstate Corrections Compact shall be deemed a fugitive from the sending state and from the state in which the correctional facility is located. (b) In the case of an escape to a jurisdiction other than the sending or receiving state, the responsibility for initiating extradition or rendition proceedings shall be that of the sending state, but nothing contained herein shall be construed to prevent or affect the activities of officers and agencies of any jurisdiction directed toward the apprehension and return of an escapee. (c) Authorized transportation officers of the sending state shall be permitted to transport inmates pursuant to the Interstate Corrections Compact through any and all United States territories or states without interference.",title-10a/chapter-10/subchapter-3/section-10a-10-3-19.html
T10A_C10_SC3_SEC10A_10_3_2,10A,10,3,10A_10_3_2,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Definitions,,,,title-10a/chapter-10/subchapter-3/section-10a-10-3-2.html
T10A_C10_SC3_SEC10A_10_3_3,10A,10,3,10A_10_3_3,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Applicability of compact,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The Interstate Corrections Compact is applicable to inmates under the jurisdiction of the New Jersey Department of Corrections, except those inmates sentenced under N.J.S.A. 2A:164-3 or N.J.S.A. 2C:47-1 et seq. (b) The New Jersey Department of Corrections shall accept only adult state sentenced inmates from contracting states.",title-10a/chapter-10/subchapter-3/section-10a-10-3-3.html
T10A_C10_SC3_SEC10A_10_3_4,10A,10,3,10A_10_3_4,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Eligibility criteria for interstate transfer consideration,,"Current through Register Vol. 57, No. 12, June 16, 2025",(a) Inmates considered for interstate transfer must be sentenced for a term of imprisonment such that the earliest parole or release dates are not less than one and a half years from the date of application for transfer. Exceptions to this rule shall be made on a case-by-case basis and may include: 1. Inmates in protective custody; 1. Inmates in protective custody; 2. Inmates considered to be security risks; 3. Inmates who require special treatment; and/or 4. Consensual transfers.,title-10a/chapter-10/subchapter-3/section-10a-10-3-4.html
T10A_C10_SC3_SEC10A_10_3_5,10A,10,3,10A_10_3_5,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Riders to contracts,,"Current through Register Vol. 57, No. 12, June 16, 2025",(a) The three types of riders which may be affixed to authorized contracts between the New Jersey Department of Corrections and another state compact member are as follows: 1. A rider to extend the duration of the contract; 1. A rider to extend the duration of the contract; 2. A rider to set forth the particulars of individual transferring arrangements or special care and custody; and 3. A rider mutually agreeing to a change or amendment to the original contractual terms.,title-10a/chapter-10/subchapter-3/section-10a-10-3-5.html
T10A_C10_SC3_SEC10A_10_3_6,10A,10,3,10A_10_3_6,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Reasons for interstate transfer,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Inmate interstate transfer may be considered, arranged and implemented either at the request of an inmate (consensual), at the request of the Administrator (nonconsensual), or upon order of the Commissioner for any of the following reasons: 1. To confine an inmate in the home state when that state is other than the one in which the inmate was convicted; 1. To confine an inmate in the home state when that state is other than the one in which the inmate was convicted; 2. To place an inmate in another state where special facilities exist for treating: i. Drug abuse; ii. Alcohol abuse; iii. Diagnosed mental/emotional illnesses; or iv. Medical conditions and/or specialized medical treatment. i. Drug abuse; ii. Alcohol abuse; iii. Diagnosed mental/emotional illnesses; or iv. Medical conditions and/or specialized medical treatment. 3. To adjust prison populations via order of the Commissioner to avoid overcrowding and/or county jail backlog; 4. To provide temporary housing arrangements for inmates at times of crisis; 5. To comply with a court order; 6. To provide for the care and custody of security risk inmates; 7. To provide protective custody; or 8. At the discretion of the Commissioner.",title-10a/chapter-10/subchapter-3/section-10a-10-3-6.html
T10A_C10_SC3_SEC10A_10_3_7,10A,10,3,10A_10_3_7,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Processing consensual interstate transfers,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) An inmate desiring an interstate transfer shall make such request initially to the Institutional Classification Committee (I.C.C.) on Form 822-I Inmate Request for Transfer Under Interstate Corrections Compact. (b) The inmate's request shall be reviewed by the I.C.C. within one month of receipt of request to verify the information provided on the request. (c) If all information provided on Form 822-I is verified and the reason for the requested transfer falls within the reasons enumerated in N.J.A.C. 10A:10-3.6, the I.C.C. shall submit the complete classification summary and the I.C.C.'s recommendation within three months of the inmate's initial request to the Administrator for review and approval or disapproval (see N.J.A.C. 10A:10-3.8). (d) If the inmate's request is approved by the Administrator, the Administrator or designee shall forward to the Deputy Commissioner a complete set of documents along with the application and a cover letter which shall explicitly state the reason(s) the Administrator is supporting the requested transfer. (e) If the Deputy Commissioner approves the inmate's request, all documents shall then be forwarded to the Administrator of the Interstate Corrections Compact or designee who shall determine whether the application and proposed transfer complies with the terms of the Interstate Corrections Compact, N.J.S.A. 30:7C-1 and this subchapter. The final decision to approve or deny the out-of-State request shall be made by the Commissioner. (f) Subsequent to an affirmative determination, the Administrator of the Interstate Corrections Compact or appropriate designee shall seek acceptance of the inmate by a receiving state. (g) The inmate requesting transfer shall be notified in writing by the Administrator or designee of the decision of the New Jersey Department of Corrections regarding the inmate's request and the reason(s) if the request is rejected. (h) If a subsequent acceptance or rejection is received, the Administrator of the Interstate Corrections Compact or appropriate designee shall notify the Administrator who, in turn, shall notify the inmate of the decision regarding the inmate's request for an interstate transfer. (i) If another state compact member is agreeable to the desired transfer, the following steps shall be taken: 1. The existence of a current contract with the state or agency where the transfer is being contemplated must be verified; 1. The existence of a current contract with the state or agency where the transfer is being contemplated must be verified; 2. A contract may either be initiated or renewed if there is no current contract with the state or agency where the contract is contemplated; 3. If necessary, a rider to the current contract may be completed and ratified; 4. Assistance shall be provided by the correctional facility, if the inmate requires assistance in understanding the terms and conditions of the transfer; 5. Form 822-II, Inmate Agreement of Waiver Regarding Interstate Transfer, shall be completed, signed and then authorized by the Administrator of the Interstate Corrections Compact or appropriate designee; 6. Contracts and amendments and renewals to contracts that are approved must be in writing and executed by both the sending and receiving states; 7. When the transfer is approved, authorized escort officers, carrying appropriate credentials identifying themselves and the inmate, shall transport the inmate to the receiving state; 8. Form 822-II, Inmate Agreement of Waiver Regarding Interstate Transfer, and any materials not previously transferred to the receiving state, shall accompany the transportation officers and the inmate to the receiving state; and 9. A receipt for the inmate, Form 822-V, Receipt for Inmate as an Interstate Transferee, shall be obtained from the receiving state and copies of the receipt shall be forwarded to the New Jersey Administrator of the Interstate Corrections Compact or appropriate designee and to the Administrator of the sending correctional facility.",title-10a/chapter-10/subchapter-3/section-10a-10-3-7.html
T10A_C10_SC3_SEC10A_10_3_8,10A,10,3,10A_10_3_8,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Classification summary,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Pursuant to the requirements at N.J.A.C. 10A:10-3.7, the Classification Department Supervisor, or designee, of the correctional facility where the inmate is housed shall prepare a classification summary to be forwarded to the Administrator, which contains current information concerning the inmate in areas of: 1. Particular needs; 1. Particular needs; 2. Age; 3. Family status; 4. Social contacts with family and friends; 5. The objective classifications score; 6. Correctional facility adjustment; 7. Educational needs and history; 8. Vocational needs and history; 9. Treatment program needs and history; 10. Military history; 11. The judgment of conviction; 12. The nature and circumstances of the present offense; 13. Parole eligibility information and current time calculation; 14. Prior convictions record; 15. Records from previous confinements regarding adjustment; 16. Detainers on file or pending disposition(s); 17. Drug dependency or involvement; 18. Sexual offenses; 19. Escape history; 20. Current psychological and psychiatric reports; 21. Keep separate status; 22. A photograph; 23. Fingerprints; 24. Medical history and recommendations, which shall include: i. A report on the results of a general physical examination; ii. Known medical problems of the inmate within three months prior to the review of the inmate's request for interstate transfer; and iii. Results of TB (tuberculosis), Hepatitis C, and HIV (Human Immunodeficiency Virus) tests, if available; and i. A report on the results of a general physical examination; ii. Known medical problems of the inmate within three months prior to the review of the inmate's request for interstate transfer; and iii. Results of TB (tuberculosis), Hepatitis C, and HIV (Human Immunodeficiency Virus) tests, if available; and 25. Any other factor(s) pertinent to the inmate's case.",title-10a/chapter-10/subchapter-3/section-10a-10-3-8.html
T10A_C10_SC3_SEC10A_10_3_9,10A,10,3,10A_10_3_9,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,INTERSTATE CORRECTIONS COMPACT,Written notice of nonconsensual transfers,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) Prior to an out-of-State transfer, the inmate shall receive written notice on Form 822-III, Notice of Intent to Seek Nonconsensual Interstate Transfer, informing the inmate of the referral for an out-of-State transfer and that a hearing is scheduled before a Hearing Officer, New Jersey Department of Corrections. (b) The notice shall be personally served upon the inmate at least 48 hours prior to the scheduled hearing and shall contain a summary of information which will be considered by the Hearing Officer. (c) Confidential materials may be withheld from the inmate, but the information shall be made part of a confidential correctional facility record for the out-of-State transfer proceedings. (d) The inmate shall also be given a copy of this subchapter along with Form 822-III.",title-10a/chapter-10/subchapter-3/section-10a-10-3-9.html
T10A_C10_SC4_SEC10A_10_4_1,10A,10,4,10A_10_4_1,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,AGREEMENT ON DETAINERS,Statutory authority,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a)N.J.S.A. 2A:159A-1 et seq. sets forth the Interstate Agreement on Detainers (IAD). The Interstate Agreement on Detainers is intended to: 1. Encourage the orderly, expeditious disposition of an untried indictment, information or complaint, which has been lodged against a prisoner by any other state that is a party to the Agreement; and 1. Encourage the orderly, expeditious disposition of an untried indictment, information or complaint, which has been lodged against a prisoner by any other state that is a party to the Agreement; and 2. Provide cooperative procedures for securing the transfer of an inmate to or from a receiving state.",title-10a/chapter-10/subchapter-4/section-10a-10-4-1.html
T10A_C10_SC4_SEC10A_10_4_10,10A,10,4,10A_10_4_10,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,AGREEMENT ON DETAINERS,Escape from custody,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) An inmate's escape from custody subsequent to the execution of Form II in accordance with N.J.A.C. 10A:10-4.5(b) shall void the request for disposition of the detainer. (b) Upon return to custody, an inmate who wishes to dispose of a detainer in accordance with N.J.A.C. 10A:10-4.5 shall execute a new Form II.",title-10a/chapter-10/subchapter-4/section-10a-10-4-10.html
T10A_C10_SC4_SEC10A_10_4_11,10A,10,4,10A_10_4_11,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,AGREEMENT ON DETAINERS,Written procedures,,,,title-10a/chapter-10/subchapter-4/section-10a-10-4-11.html
T10A_C10_SC4_SEC10A_10_4_2,10A,10,4,10A_10_4_2,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,AGREEMENT ON DETAINERS,Definitions,,,,title-10a/chapter-10/subchapter-4/section-10a-10-4-2.html
T10A_C10_SC4_SEC10A_10_4_3,10A,10,4,10A_10_4_3,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,AGREEMENT ON DETAINERS,Eligibility criteria for the Interstate Agreement on Detainers,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The Interstate Agreement on Detainers may be utilized by an inmate in the sending state, or a prosecuting authority in a receiving state, provided the following criteria has been established: 1. A detainer from the receiving state has been filed with the correctional facility in which the inmate is incarcerated; 1. A detainer from the receiving state has been filed with the correctional facility in which the inmate is incarcerated; 2. The inmate against whom the detainer has been filed is serving a term of imprisonment for a criminal conviction; 3. The inmate against whom the detainer has been filed is not adjudged to be mentally ill; and 4. The detainer is based on an untried indictment, information or complaint that charges the inmate with the commission of a criminal offense.",title-10a/chapter-10/subchapter-4/section-10a-10-4-3.html
T10A_C10_SC4_SEC10A_10_4_4,10A,10,4,10A_10_4_4,CORRECTIONS,INTERJURISDICTIONAL AGREEMENTS AND STATUTES,AGREEMENT ON DETAINERS,Receipt of detainer,,"Current through Register Vol. 57, No. 12, June 16, 2025","(a) The following action shall be taken by the correctional facility upon receipt of a detainer filed by a receiving state: 1. The Administrator or designee shall advise the inmate of the right to dispose of the detainer(s) under the IAD, and shall ensure that an original and two copies of Form I Notice of Untried Indictment, Information or Complaint and of Right to Request Disposition, are provided to the inmate. A separate Form I shall be completed for each receiving state that has filed a detainer against the inmate; 1. The Administrator or designee shall advise the inmate of the right to dispose of the detainer(s) under the IAD, and shall ensure that an original and two copies of Form I Notice of Untried Indictment, Information or Complaint and of Right to Request Disposition, are provided to the inmate. A separate Form I shall be completed for each receiving state that has filed a detainer against the inmate; 2. The inmate shall sign Form I and indicate whether to dispose of the charge(s); and 3. The classification officer shall ensure that Form I is copied and distributed in accordance with the instructions printed on the form.",title-10a/chapter-10/subchapter-4/section-10a-10-4-4.html
